"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"DEEPAKFERT","759.90","774.95","747.55","757.70","768.10","10.40","1.37","16,33,742","125.18","780.00","450.00","30.91","23.33"
"NAM-INDIA","652.05","675.00","652.05","658.20","667.10","8.90","1.35","11,08,576","73.95","678.30","280.35","8.34","129.74"
"BORORENEW","516.05","538.00","511.20","516.25","523.00","6.75","1.31","11,96,288","62.95","669.35","391.05","4.91","4.11"
"EPL","230.00","238.30","226.90","228.78","231.75","2.97","1.30","33,81,361","78.77","238.30","169.60","25.63","5.50"
"NBCC","189.51","197.00","185.20","188.61","190.80","2.19","1.16","4,87,05,167","936.41","197.00","39.60","30.89","369.76"
"ITI","311.20","320.50","310.60","310.30","313.80","3.50","1.13","19,67,944","62.02","384.30","106.40","4.32","185.60"
"RATNAMANI","3,602.95","3,665.00","3,588.35","3,602.95","3,641.00","38.05","1.06","53,671","19.48","3,938.80","2,311.00","5.06","49.41"
"GLENMARK","1,338.10","1,366.95","1,335.25","1,338.15","1,351.60","13.45","1.01","9,15,961","123.73","1,366.95","661.00","12.06","94.15"
"AEGISLOG","927.95","937.50","895.30","922.00","931.00","9.00","0.98","3,88,471","35.65","937.50","280.00","-","-"
"DOMS","2,269.65","2,365.00","2,253.20","2,251.25","2,270.00","18.75","0.83","2,83,653","65.44","2,365.00","1,225.60","18.44","-"
"EIHOTEL","432.00","435.00","424.55","429.35","432.90","3.55","0.83","4,67,402","20.15","502.20","203.30","-2.13","108.27"
"EXIDEIND","570.00","576.40","565.10","567.95","572.20","4.25","0.75","26,84,664","153.14","620.35","241.70","7.76","129.10"
"ELGIEQUIP","737.85","744.25","721.55","737.85","743.10","5.25","0.71","1,20,011","8.79","798.95","463.00","23.06","36.97"
"WELSPUNLIV","152.45","153.99","150.50","151.45","152.50","1.05","0.69","15,52,132","23.69","171.25","92.80","10.35","-"
"RRKABEL","1,830.00","1,839.00","1,787.95","1,807.95","1,819.85","11.90","0.66","1,12,847","20.55","1,901.95","1,136.80","6.28","-"
"AAVAS","1,779.00","1,805.00","1,760.00","1,779.05","1,790.00","10.95","0.62","1,59,785","28.56","1,978.95","1,307.00","6.22","13.76"
"NSLNISP","57.50","58.65","57.33","57.46","57.80","0.34","0.59","71,45,046","41.36","73.70","39.15","-2.94","31.64"
"MASTEK","2,840.00","2,889.80","2,775.00","2,838.70","2,855.00","16.30","0.57","1,02,612","29.09","3,145.00","1,937.00","1.73","44.86"
"KNRCON","362.45","362.60","352.05","355.05","357.00","1.95","0.55","10,09,966","36.05","407.00","236.75","-4.90","43.05"
"INOXWIND","161.00","162.00","155.05","158.80","159.65","0.85","0.54","1,03,54,979","164.18","177.00","41.51","5.73","-7.11"
"MRPL","218.60","224.35","217.80","217.96","219.00","1.04","0.48","37,29,938","82.30","289.25","80.25","6.11","148.53"
"CAMS","3,753.05","3,795.10","3,733.30","3,765.30","3,766.00","17.20","0.46","88,145","33.18","3,890.00","2,220.15","10.48","64.71"
"HSCL","405.20","408.20","401.00","403.30","405.00","1.70","0.42","8,37,718","33.95","418.50","125.50","17.84","212.76"
"SBFC","83.05","84.27","81.90","83.46","83.81","0.35","0.42","17,37,780","14.38","98.00","72.40","-1.35","-"
"RENUKA","48.25","49.39","47.50","48.09","48.29","0.20","0.42","1,76,03,014","85.18","57.25","36.55","11.84","10.05"
"AMBER","4,547.00","4,547.00","4,468.00","4,503.80","4,519.90","16.10","0.36","1,06,426","47.87","4,665.00","2,171.00","20.31","102.70"
"PNBHOUSING","802.65","803.00","782.60","792.60","795.00","2.40","0.30","18,20,880","144.20","913.70","559.00","6.18","35.92"
"HFCL","131.00","135.40","128.58","130.36","130.75","0.39","0.30","6,27,98,648","827.81","135.40","61.50","33.77","95.44"
"UJJIVANSFB","45.39","45.39","44.60","44.84","44.96","0.12","0.27","1,52,41,506","68.42","63.00","40.00","-9.60","7.79"
"STLTECH","138.51","141.80","137.70","139.09","139.45","0.36","0.26","25,03,733","35.03","179.05","109.50","10.52","-6.49"
"VARROC","676.00","683.80","660.30","672.30","673.85","1.55","0.23","3,16,497","21.26","716.90","320.00","15.30","91.51"
"NCC","338.00","344.00","334.00","335.75","336.50","0.75","0.22","39,18,478","132.48","347.60","122.90","3.51","163.64"
"KFINTECH","754.95","766.90","747.45","751.10","752.70","1.60","0.21","2,62,885","19.86","822.00","350.55","5.08","110.57"
"UTIAMC","1,050.00","1,072.00","1,045.00","1,046.10","1,048.25","2.15","0.21","2,10,598","22.16","1,072.00","731.20","8.94","31.35"
"METROPOLIS","2,050.00","2,056.95","1,990.00","2,037.90","2,042.00","4.10","0.20","1,83,675","37.22","2,109.20","1,296.00","1.78","40.23"
"NAVINFLUOR","3,665.60","3,715.80","3,621.10","3,665.60","3,672.00","6.40","0.17","1,21,947","44.64","4,724.25","2,875.95","10.10","-19.12"
"TMB","489.00","489.00","478.00","482.50","483.25","0.75","0.16","2,31,721","11.20","611.35","416.05","2.17","10.87"
"FINEORG","5,342.30","5,500.00","5,281.00","5,342.70","5,350.00","7.30","0.14","95,184","51.33","5,500.00","4,021.00","19.07","11.10"
"GSPL","313.05","316.00","310.45","311.60","311.95","0.35","0.11","9,92,908","30.98","406.75","254.50","10.36","8.48"
"EQUITASBNK","92.90","93.30","90.99","92.10","92.19","0.09","0.10","32,26,373","29.65","116.50","82.10","-5.30","-1.97"
"CANFINHOME","886.60","898.00","875.00","886.90","887.45","0.55","0.06","4,04,409","35.86","938.00","680.00","14.54","14.58"
"NH","1,256.35","1,257.95","1,220.00","1,249.65","1,250.00","0.35","0.03","2,82,776","35.00","1,444.90","973.40","-1.11","23.86"
"KEC","910.45","910.55","892.00","900.65","900.75","0.10","0.01","3,60,522","32.36","968.80","550.05","17.22","50.99"
"TITAGARH","1,859.00","1,861.10","1,786.05","1,828.95","1,829.00","0.05","-","15,24,335","280.01","1,896.95","482.00","51.32","263.10"
"GNFC","714.00","722.40","706.50","714.10","714.00","-0.10","-0.01","16,35,317","116.75","814.90","532.00","10.48","19.43"
"CLEAN","1,514.00","1,519.95","1,480.05","1,510.30","1,510.00","-0.30","-0.02","1,46,284","21.95","1,622.00","1,243.00","14.40","11.06"
"CONCORDBIO","1,694.90","1,702.50","1,655.00","1,683.70","1,683.00","-0.70","-0.04","44,187","7.41","1,745.00","900.05","15.84","-"
"ASTERDM","341.95","342.10","335.60","340.10","339.95","-0.15","-0.04","9,82,073","33.34","558.00","294.35","-5.58","8.17"
"MEDPLUS","674.00","675.00","665.00","669.30","669.00","-0.30","-0.04","1,28,244","8.58","978.00","598.60","-4.88","-18.43"
"CYIENT","1,809.00","1,809.40","1,776.90","1,792.55","1,791.45","-1.10","-0.06","2,77,154","49.67","2,458.95","1,392.10","-6.87","20.98"
"SOBHA","2,025.00","2,074.95","2,009.00","2,021.20","2,019.00","-2.20","-0.11","76,639","15.61","2,155.35","531.07","-3.11","250.78"
"BIRLACORPN","1,603.80","1,608.05","1,547.00","1,593.15","1,591.25","-1.90","-0.12","1,25,634","19.78","1,802.00","1,060.55","7.90","30.75"
"MOTILALOFS","556.95","561.00","544.25","551.70","550.55","-1.15","-0.21","6,25,049","34.46","722.00","179.80","-77.27","-23.54"
"INTELLECT","1,080.00","1,097.35","1,072.30","1,085.45","1,082.55","-2.90","-0.27","2,64,475","28.69","1,199.00","572.00","13.98","80.37"
"ZENSARTECH","744.50","744.60","722.60","737.20","735.00","-2.20","-0.30","9,79,753","71.82","782.50","382.40","9.51","89.93"
"ARE&M","1,704.00","1,745.00","1,655.15","1,694.65","1,689.35","-5.30","-0.31","13,34,803","226.77","1,775.95","599.00","20.95","-"
"SAFARI","2,187.45","2,188.00","2,120.80","2,165.90","2,159.00","-6.90","-0.32","32,367","6.96","2,315.00","1,400.00","8.21","-27.18"
"CIEINDIA","617.95","618.95","603.90","612.15","609.90","-2.25","-0.37","4,21,030","25.57","618.95","406.80","10.64","14.87"
"BALRAMCHIN","426.25","431.70","422.00","426.60","424.90","-1.70","-0.40","11,02,223","46.92","485.90","343.50","6.54","11.63"
"CCL","595.40","596.55","585.20","588.80","586.40","-2.40","-0.41","69,328","4.09","749.50","551.60","-2.32","-16.54"
"TANLA","956.70","962.45","944.55","951.90","948.00","-3.90","-0.41","2,83,606","27.01","1,317.95","782.05","4.53","-7.11"
"APARINDS","8,954.00","8,962.85","8,708.00","8,861.55","8,823.00","-38.55","-0.44","84,851","74.81","8,962.85","3,303.25","9.95","154.47"
"RAINBOW","1,294.65","1,300.60","1,265.25","1,298.35","1,292.55","-5.80","-0.45","85,402","10.92","1,649.00","958.00","-0.76","28.39"
"CENTRALBK","62.18","62.45","61.60","62.18","61.90","-0.28","-0.45","49,87,770","30.88","76.90","29.60","-4.04","101.23"
"MINDACORP","493.60","493.60","481.50","492.40","490.00","-2.40","-0.49","1,96,910","9.58","510.00","280.00","8.42","67.28"
"JBCHEPHARM","1,759.00","1,765.00","1,734.00","1,742.55","1,734.05","-8.50","-0.49","71,258","12.42","1,940.00","1,137.50","-3.17","-24.08"
"TRIDENT","38.39","38.45","37.90","38.19","38.00","-0.19","-0.50","74,02,639","28.17","52.90","31.60","3.08","13.49"
"ECLERX","2,501.65","2,519.75","2,462.70","2,501.65","2,488.70","-12.95","-0.52","1,20,345","30.01","2,828.00","1,582.00","7.89","47.81"
"GPPL","224.00","228.45","221.40","224.17","223.00","-1.17","-0.52","34,67,659","77.82","238.00","115.55","17.34","90.06"
"CGCL","213.40","213.40","207.80","211.93","210.82","-1.11","-0.52","2,88,239","6.06","289.25","183.03","-1.50","-72.89"
"PVRINOX","1,470.00","1,477.90","1,447.50","1,467.85","1,460.00","-7.85","-0.53","2,13,783","31.19","1,875.45","1,204.20","9.68","1.94"
"HOMEFIRST","1,056.00","1,086.95","1,040.10","1,055.70","1,050.00","-5.70","-0.54","1,79,096","18.95","1,195.00","771.00","23.57","34.74"
"LEMONTREE","148.14","151.04","146.56","148.15","147.35","-0.80","-0.54","22,03,340","32.79","158.00","89.90","4.22","61.82"
"CHALET","861.15","870.00","841.65","849.75","845.00","-4.75","-0.56","47,827","4.07","958.00","437.00","3.46","88.90"
"ALLCARGO","64.50","64.79","63.54","64.46","64.09","-0.37","-0.57","27,56,594","17.67","98.00","59.30","-2.04","-77.49"
"SONATSOFTW","638.30","645.55","617.00","636.25","632.55","-3.70","-0.58","5,99,583","37.66","870.00","469.60","8.57","-36.48"
"RAJESHEXPO","288.65","289.70","284.00","287.10","285.40","-1.70","-0.59","2,11,572","6.04","560.00","261.00","2.70","-45.49"
"HAPPSTMNDS","833.80","833.80","820.00","826.65","821.75","-4.90","-0.59","5,50,059","45.26","1,020.00","741.00","-1.77","-15.75"
"CDSL","2,340.00","2,345.95","2,302.05","2,322.95","2,309.00","-13.95","-0.60","8,85,793","205.05","2,538.65","1,107.35","11.58","97.09"
"IRB","67.90","68.60","67.00","67.56","67.15","-0.41","-0.61","3,10,09,845","209.63","78.15","24.95","-12.09","155.91"
"DATAPATTNS","3,438.00","3,525.00","3,305.00","3,390.40","3,368.80","-21.60","-0.64","9,32,704","319.14","3,655.00","1,735.00","28.75","78.66"
"RAYMOND","3,290.25","3,496.00","3,185.00","3,229.50","3,208.00","-21.50","-0.67","19,45,761","648.85","3,496.00","1,487.60","30.66","84.79"
"JAIBALAJI","925.00","949.00","901.00","920.55","914.00","-6.55","-0.71","40,822","3.79","1,314.00","75.60","4.10","1,050.69"
"GPIL","1,108.05","1,129.00","1,086.10","1,108.05","1,100.00","-8.05","-0.73","1,55,790","17.22","1,174.50","507.55","13.63","116.20"
"WELCORP","618.50","630.00","605.55","616.40","611.90","-4.50","-0.73","15,75,119","96.94","631.90","283.05","15.18","111.97"
"CELLO","965.00","972.85","950.05","969.40","962.30","-7.10","-0.73","2,40,882","23.11","1,025.00","711.20","14.53","-"
"MCX","3,998.90","4,000.00","3,900.30","3,984.30","3,955.00","-29.30","-0.74","2,57,252","101.52","4,270.00","1,512.00","9.71","149.54"
"GMMPFAUDLR","1,409.00","1,410.50","1,387.70","1,410.55","1,400.00","-10.55","-0.75","86,338","12.07","1,897.95","1,143.10","10.68","-4.82"
"APLLTD","998.00","1,006.00","977.40","989.05","981.30","-7.75","-0.78","2,07,930","20.63","1,094.00","641.25","7.97","50.56"
"COCHINSHIP","2,849.95","2,979.45","2,750.00","2,837.60","2,815.00","-22.60","-0.80","83,55,098","2,412.27","2,979.45","280.33","48.35","389.58"
"JUBLINGREA","536.35","544.40","527.40","536.35","531.90","-4.45","-0.83","1,68,838","9.00","581.70","399.00","6.99","31.14"
"CASTROLIND","254.02","258.00","249.46","254.02","251.90","-2.12","-0.83","85,28,643","216.29","260.00","124.30","30.30","98.38"
"MEDANTA","1,255.00","1,292.20","1,254.00","1,266.75","1,256.15","-10.60","-0.84","3,55,268","45.09","1,513.90","655.65","3.21","83.37"
"AETHER","912.10","925.00","901.00","917.30","909.50","-7.80","-0.85","41,228","3.75","1,110.00","761.55","13.02","-14.85"
"GRANULES","526.00","528.70","517.00","526.00","521.45","-4.55","-0.87","10,30,872","53.71","530.65","287.70","9.86","68.64"
"SAREGAMA","547.90","553.20","535.55","547.85","543.05","-4.80","-0.88","2,67,120","14.50","581.40","309.60","-0.95","35.20"
"TATAINVEST","6,560.95","6,633.00","6,500.00","6,559.40","6,501.10","-58.30","-0.89","24,951","16.28","9,756.85","2,280.00","1.82","183.70"
"BSOFT","722.50","724.00","702.00","714.70","708.00","-6.70","-0.94","24,27,072","172.35","861.85","343.60","5.39","101.49"
"VGUARD","479.35","527.55","461.30","476.50","472.00","-4.50","-0.94","16,23,552","79.59","527.55","276.25","21.96","65.77"
"TTML","76.32","76.80","75.36","76.28","75.55","-0.73","-0.96","17,63,158","13.38","109.10","65.05","2.18","3.92"
"INDIGOPNTS","1,409.45","1,409.45","1,384.10","1,399.90","1,386.50","-13.40","-0.96","30,890","4.30","1,679.95","1,250.00","2.51","-3.35"
"SWSOLAR","692.05","698.90","674.00","690.55","683.90","-6.65","-0.96","11,13,639","76.00","828.00","253.00","-4.32","140.65"
"UCOBANK","54.88","54.90","53.81","54.54","54.00","-0.54","-0.99","51,10,957","27.66","70.65","27.00","-4.23","89.38"
"JUBLPHARMA","751.40","758.90","736.05","751.40","743.85","-7.55","-1.00","1,07,212","7.99","780.30","318.75","-0.76","94.56"
"KARURVYSYA","203.08","204.50","199.20","202.77","200.72","-2.05","-1.01","14,80,708","29.87","219.90","115.60","1.36","57.25"
"JWL","736.60","745.75","706.05","730.00","722.60","-7.40","-1.01","29,24,588","212.34","748.10","169.35","23.30","314.30"
"VIJAYA","788.00","796.95","771.05","788.00","780.00","-8.00","-1.02","64,246","5.02","880.00","437.25","-2.83","67.71"
"QUESS","632.00","635.05","622.60","631.50","625.05","-6.45","-1.02","3,61,692","22.70","670.40","397.70","7.76","45.42"
"SHYAMMETL","725.00","725.00","708.10","720.30","712.70","-7.60","-1.06","6,15,826","44.08","745.30","343.30","15.21","103.82"
"PRINCEPIPE","693.35","700.00","678.00","693.35","686.00","-7.35","-1.06","1,09,115","7.48","776.00","521.35","6.60","7.86"
"NETWORK18","87.00","88.50","84.28","85.67","84.76","-0.91","-1.06","12,55,106","10.76","135.70","57.15","5.90","33.55"
"JKPAPER","576.15","584.00","562.10","576.15","569.95","-6.20","-1.08","7,95,084","45.49","638.75","306.40","41.96","85.26"
"CHOLAHLDNG","1,458.95","1,476.95","1,430.00","1,457.60","1,441.90","-15.70","-1.08","1,63,785","23.72","1,649.80","885.10","21.68","57.56"
"TRITURBINE","635.00","639.45","621.85","635.00","628.15","-6.85","-1.08","2,78,145","17.52","676.10","312.00","14.49","57.08"
"CERA","9,120.00","9,233.95","8,952.00","9,154.70","9,055.00","-99.70","-1.09","14,025","12.77","9,740.00","6,591.20","27.02","20.57"
"SAPPHIRE","1,590.35","1,595.95","1,546.15","1,582.40","1,565.00","-17.40","-1.10","50,276","7.86","1,680.00","1,213.00","6.79","13.84"
"WHIRLPOOL","2,022.35","2,027.00","1,977.85","2,022.35","2,000.00","-22.35","-1.11","1,46,944","29.27","2,199.00","1,186.10","24.77","38.39"
"WESTLIFE","858.70","878.40","833.00","853.60","844.00","-9.60","-1.12","2,08,503","17.86","1,024.95","708.95","4.33","-1.45"
"ALOKINDS","28.40","28.64","27.79","28.28","27.95","-0.33","-1.17","98,76,040","27.73","39.05","14.55","8.77","71.91"
"CHEMPLASTS","553.95","553.95","538.20","550.05","543.60","-6.45","-1.17","1,22,716","6.68","633.90","402.80","11.98","23.79"
"VIPIND","481.75","483.30","475.30","481.75","476.05","-5.70","-1.18","2,52,147","12.04","722.85","428.50","-0.43","-20.55"
"ANURAS","763.95","765.80","751.65","762.75","753.45","-9.30","-1.22","49,797","3.77","1,106.30","720.40","-0.92","-23.18"
"NUVAMA","4,769.95","4,830.00","4,675.00","4,769.55","4,711.20","-58.35","-1.22","35,458","16.72","5,500.00","2,100.00","-8.29","-"
"PRSMJOHNSN","166.58","167.28","163.32","166.58","164.50","-2.08","-1.25","2,70,298","4.46","199.00","119.95","2.42","25.63"
"USHAMART","413.00","414.95","401.30","411.20","406.00","-5.20","-1.26","5,13,530","20.85","427.80","252.80","13.25","46.18"
"EASEMYTRIP","41.89","41.92","41.14","41.79","41.26","-0.53","-1.27","47,50,903","19.67","54.00","37.00","0.10","1.43"
"IEX","185.00","185.49","180.36","184.35","182.00","-2.35","-1.27","87,37,011","159.48","191.20","119.00","12.75","47.01"
"IOB","63.30","63.30","62.00","62.99","62.15","-0.84","-1.33","74,81,396","46.76","83.75","25.55","-6.40","138.60"
"SANOFI","6,599.95","6,600.00","6,480.05","6,577.95","6,490.05","-87.90","-1.34","11,106","7.24","10,524.95","5,892.80","-31.29","-4.85"
"TVSSCS","191.90","193.38","188.43","192.22","189.65","-2.57","-1.34","27,13,429","51.84","258.00","145.00","13.17","-"
"MANAPPURAM","209.00","209.68","205.80","209.92","207.00","-2.92","-1.39","55,20,460","114.59","214.63","122.60","17.31","62.04"
"SYRMA","504.80","506.00","491.70","502.00","495.00","-7.00","-1.39","4,44,729","22.09","705.20","386.10","8.02","12.92"
"TEJASNET","1,447.10","1,470.70","1,412.00","1,439.10","1,419.00","-20.10","-1.40","4,29,823","62.02","1,495.00","651.25","12.01","102.83"
"AVANTIFEED","614.80","615.00","597.10","610.55","602.00","-8.55","-1.40","3,39,921","20.52","672.00","385.90","-0.79","50.59"
"KIMS","2,134.70","2,139.95","2,092.10","2,134.70","2,104.70","-30.00","-1.41","26,805","5.66","2,356.40","1,745.15","12.26","19.35"
"BLS","380.00","382.05","365.10","379.40","374.00","-5.40","-1.42","44,06,038","163.28","429.95","205.20","19.25","83.51"
"CREDITACC","1,329.05","1,336.80","1,302.50","1,329.85","1,310.70","-19.15","-1.44","2,81,268","36.96","1,796.00","1,190.10","-11.36","3.74"
"MTARTECH","2,015.00","2,054.00","1,965.00","2,001.00","1,972.00","-29.00","-1.45","4,50,520","90.47","2,920.35","1,600.00","17.29","4.84"
"ANGELONE","2,389.90","2,389.90","2,315.25","2,363.60","2,328.95","-34.65","-1.47","4,84,620","114.26","3,896.00","1,452.00","-8.74","38.05"
"JMFINANCIL","100.00","101.25","95.45","98.24","96.79","-1.45","-1.48","81,20,333","79.47","114.85","69.00","23.03","32.85"
"IDFC","121.30","121.72","118.75","121.30","119.49","-1.81","-1.49","30,56,337","36.62","137.00","105.00","5.39","8.94"
"BIKAJI","713.50","713.70","692.00","706.65","696.00","-10.65","-1.51","2,05,067","14.31","747.00","404.05","2.17","70.09"
"KSB","4,982.00","5,000.00","4,797.60","4,925.80","4,850.00","-75.80","-1.54","33,679","16.50","5,190.00","2,013.35","7.31","133.49"
"JKLAKSHMI","870.20","875.00","854.00","870.60","857.00","-13.60","-1.56","1,53,052","13.18","999.90","607.20","9.49","27.42"
"POWERINDIA","13,900.00","14,123.90","13,700.00","14,019.55","13,800.00","-219.55","-1.57","40,340","55.84","14,382.00","3,895.90","33.66","228.95"
"PRAJIND","736.70","740.00","712.85","733.15","721.60","-11.55","-1.58","6,54,896","47.41","757.95","368.00","24.18","84.51"
"FINCABLES","1,666.50","1,683.35","1,621.00","1,666.50","1,639.95","-26.55","-1.59","1,17,478","19.36","1,700.00","804.65","13.08","102.59"
"FINPIPE","324.25","326.00","316.30","323.15","318.00","-5.15","-1.59","6,46,990","20.73","355.90","170.05","-7.75","87.55"
"MAHLIFE","625.00","627.50","611.25","625.00","615.00","-10.00","-1.60","2,06,509","12.76","678.80","468.20","4.87","31.58"
"IBULHSGFIN","171.65","171.85","167.50","170.72","167.95","-2.77","-1.62","46,98,446","79.48","208.90","79.40","6.80","30.92"
"INDIAMART","2,712.00","2,715.40","2,631.45","2,698.80","2,653.35","-45.45","-1.68","96,302","25.64","3,335.55","2,230.00","6.14","-1.71"
"ALKYLAMINE","2,130.00","2,139.95","2,090.00","2,128.35","2,092.50","-35.85","-1.68","46,452","9.78","2,735.00","1,808.00","8.15","-18.47"
"JUSTDIAL","1,023.00","1,032.75","999.00","1,022.65","1,005.00","-17.65","-1.73","1,54,006","15.57","1,162.00","693.05","6.13","38.32"
"LATENTVIEW","519.50","520.00","505.55","519.00","510.00","-9.00","-1.73","3,53,262","18.10","567.10","356.20","0.93","-"
