"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY SMALLCAP 100","19,036.65","19,107.45","18,844.95","18,941.20","18,908.40","-32.80","-0.17","57,60,51,164","20,397.18","19,107.45","11,213.35","10.02","70.36"
"GESHIP","1,303.35","1,449.95","1,303.35","1,267.80","1,354.00","86.20","6.80","69,76,979","959.08","1,449.95","722.50","9.50","70.98"
"IRCON","311.90","334.50","310.75","307.75","326.25","18.50","6.01","6,96,90,983","2,275.62","334.50","79.00","22.66","275.08"
"FSL","239.13","254.65","239.13","235.71","249.57","13.86","5.88","1,12,18,038","279.33","254.65","124.50","19.68","85.09"
"GMDCLTD","402.00","436.20","402.00","401.45","423.25","21.80","5.43","1,67,86,494","714.70","506.00","165.05","5.90","141.40"
"SWANENERGY","692.60","692.60","692.60","659.65","692.60","32.95","5.00","3,81,237","26.40","782.25","214.25","12.05","151.87"
"OLECTRA","1,820.00","1,948.00","1,819.50","1,823.35","1,912.00","88.65","4.86","43,51,214","829.98","2,221.95","985.10","4.30","48.01"
"NATIONALUM","199.80","207.50","198.63","199.02","207.30","8.28","4.16","2,56,66,049","521.30","207.50","82.65","7.40","140.07"
"JBMA","2,158.00","2,319.75","2,130.70","2,149.60","2,238.65","89.05","4.14","12,63,222","285.21","2,428.35","1,113.35","6.17","59.38"
"JYOTHYLAB","477.40","493.80","470.00","471.45","490.50","19.05","4.04","15,70,215","76.16","554.00","228.15","4.96","97.96"
"HINDCOPPER","333.50","343.75","331.15","330.80","342.85","12.05","3.64","1,46,93,579","496.88","415.80","115.85","-2.79","176.82"
"CHAMBLFERT","522.00","535.85","519.00","517.65","535.30","17.65","3.41","78,68,256","417.00","574.35","250.05","26.91","88.72"
"NLCINDIA","268.75","275.30","264.17","261.43","269.00","7.57","2.90","1,54,95,824","419.29","293.75","106.00","18.21","142.85"
"CROMPTON","410.00","423.45","409.50","409.70","421.00","11.30","2.76","22,31,484","93.53","436.50","261.25","3.11","43.25"
"CESC","169.60","178.80","169.00","168.02","172.00","3.98","2.37","1,42,88,074","248.18","178.80","72.80","14.30","123.88"
"AFFLE","1,348.70","1,426.25","1,345.00","1,339.40","1,369.60","30.20","2.25","12,22,278","170.40","1,426.25","988.15","11.50","26.75"
"HUDCO","330.05","349.70","329.30","328.45","335.15","6.70","2.04","3,99,98,055","1,357.53","349.70","57.75","32.12","463.38"
