"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY SMALLCAP 50","8,824.95","8,849.80","8,714.35","8,790.25","8,740.80","-49.45","-0.56","18,79,14,913","6,959.23","8,849.80","5,081.75","8.70","73.87"
"GESHIP","1,303.35","1,449.95","1,303.35","1,267.80","1,354.00","86.20","6.80","69,76,979","959.08","1,449.95","722.50","9.50","70.98"
"NATIONALUM","199.80","207.50","198.63","199.02","207.30","8.28","4.16","2,56,66,049","521.30","207.50","82.65","7.40","140.07"
"CROMPTON","410.00","423.45","409.50","409.70","421.00","11.30","2.76","22,31,484","93.53","436.50","261.25","3.11","43.25"
"CESC","169.60","178.80","169.00","168.02","172.00","3.98","2.37","1,42,88,074","248.18","178.80","72.80","14.30","123.88"
"NAM-INDIA","652.05","675.00","652.05","658.20","667.10","8.90","1.35","11,08,576","73.95","678.30","280.35","8.34","129.74"
"GLENMARK","1,338.10","1,366.95","1,335.25","1,338.15","1,351.60","13.45","1.01","9,15,961","123.73","1,366.95","661.00","12.06","94.15"
"EXIDEIND","570.00","576.40","565.10","567.95","572.20","4.25","0.75","26,84,664","153.14","620.35","241.70","7.76","129.10"
"AAVAS","1,779.00","1,805.00","1,760.00","1,779.05","1,790.00","10.95","0.62","1,59,785","28.56","1,978.95","1,307.00","6.22","13.76"
"CAMS","3,753.05","3,795.10","3,733.30","3,765.30","3,766.00","17.20","0.46","88,145","33.18","3,890.00","2,220.15","10.48","64.71"
"PNBHOUSING","802.65","803.00","782.60","792.60","795.00","2.40","0.30","18,20,880","144.20","913.70","559.00","6.18","35.92"
"HFCL","131.00","135.40","128.58","130.36","130.75","0.39","0.30","6,27,98,648","827.81","135.40","61.50","33.77","95.44"
"NCC","338.00","344.00","334.00","335.75","336.50","0.75","0.22","39,18,478","132.48","347.60","122.90","3.51","163.64"
"NAVINFLUOR","3,665.60","3,715.80","3,621.10","3,665.60","3,672.00","6.40","0.17","1,21,947","44.64","4,724.25","2,875.95","10.10","-19.12"
"GSPL","313.05","316.00","310.45","311.60","311.95","0.35","0.11","9,92,908","30.98","406.75","254.50","10.36","8.48"
"EQUITASBNK","92.90","93.30","90.99","92.10","92.19","0.09","0.10","32,26,373","29.65","116.50","82.10","-5.30","-1.97"
"NH","1,256.35","1,257.95","1,220.00","1,249.65","1,250.00","0.35","0.03","2,82,776","35.00","1,444.90","973.40","-1.11","23.86"
"CYIENT","1,809.00","1,809.40","1,776.90","1,792.55","1,791.45","-1.10","-0.06","2,77,154","49.67","2,458.95","1,392.10","-6.87","20.98"
"ZENSARTECH","744.50","744.60","722.60","737.20","735.00","-2.20","-0.30","9,79,753","71.82","782.50","382.40","9.51","89.93"
"ARE&M","1,704.00","1,745.00","1,655.15","1,694.65","1,689.35","-5.30","-0.31","13,34,803","226.77","1,775.95","599.00","20.95","-"
"TANLA","956.70","962.45","944.55","951.90","948.00","-3.90","-0.41","2,83,606","27.01","1,317.95","782.05","4.53","-7.11"
"APARINDS","8,954.00","8,962.85","8,708.00","8,861.55","8,823.00","-38.55","-0.44","84,851","74.81","8,962.85","3,303.25","9.95","154.47"
"PVRINOX","1,470.00","1,477.90","1,447.50","1,467.85","1,460.00","-7.85","-0.53","2,13,783","31.19","1,875.45","1,204.20","9.68","1.94"
"SONATSOFTW","638.30","645.55","617.00","636.25","632.55","-3.70","-0.58","5,99,583","37.66","870.00","469.60","8.57","-36.48"
"HAPPSTMNDS","833.80","833.80","820.00","826.65","821.75","-4.90","-0.59","5,50,059","45.26","1,020.00","741.00","-1.77","-15.75"
