"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY 200","13,825.85","13,832.95","13,755.55","13,807.25","13,800.40","-6.85","-0.05","2,81,43,19,216","83,428.42","13,832.95","10,017.55","5.01","35.59"
"RVNL","508.00","578.95","508.00","491.05","567.50","76.45","15.57","17,83,60,632","9,901.69","578.95","117.05","51.09","364.23"
"FACT","1,025.05","1,118.95","1,020.00","1,017.25","1,118.95","101.70","10.00","43,86,234","476.15","1,187.00","413.15","58.72","136.83"
"PAYTM","440.20","479.90","440.20","436.55","472.95","36.40","8.34","1,26,98,807","592.27","998.30","310.00","23.88","-44.48"
"IRFC","193.50","206.00","193.50","188.23","202.50","14.27","7.58","26,09,60,455","5,261.75","206.00","32.35","16.37","510.33"
"RECLTD","582.95","615.55","582.00","580.45","608.50","28.05","4.83","2,97,44,866","1,796.80","615.55","159.15","22.30","266.24"
"ONGC","290.00","303.00","287.35","288.20","300.15","11.95","4.15","5,31,36,198","1,572.88","303.00","162.50","14.88","82.97"
"BHEL","317.30","329.95","315.55","316.40","329.50","13.10","4.14","4,56,85,018","1,482.43","329.95","89.25","15.01","258.46"
"TIINDIA","4,254.00","4,405.00","4,171.10","4,231.80","4,404.00","172.20","4.07","2,71,201","115.58","4,424.90","2,758.00","10.14","35.89"
"MARICO","632.00","655.80","629.00","615.35","640.05","24.70","4.01","78,13,665","502.66","667.20","486.30","-1.79","24.03"
"GODREJCP","1,380.45","1,439.70","1,372.30","1,373.80","1,425.00","51.20","3.73","24,71,142","350.99","1,467.10","959.80","-0.13","34.20"
"GAIL","223.50","231.44","221.27","222.96","230.84","7.88","3.53","2,81,99,193","640.12","233.20","106.10","8.36","108.21"
"BEL","328.45","335.80","325.60","324.05","335.50","11.45","3.53","7,09,83,243","2,354.16","335.80","121.90","18.15","169.73"
"ALKEM","5,090.00","5,243.70","5,063.00","5,063.55","5,230.00","166.45","3.29","2,72,224","140.70","5,578.80","3,447.00","5.36","49.59"
"GMRINFRA","96.23","99.40","95.00","96.23","99.19","2.96","3.08","2,42,69,090","235.94","101.25","43.55","14.07","119.05"
"DABUR","610.40","633.00","610.40","606.45","624.30","17.85","2.94","72,79,634","455.96","633.40","489.20","1.69","8.96"
"PFC","538.00","559.75","536.40","534.25","549.80","15.55","2.91","2,07,39,673","1,137.72","559.75","174.08","13.69","148.42"
"SONACOMS","656.45","681.90","656.00","656.90","674.85","17.95","2.73","15,06,819","101.50","718.85","488.10","1.60","26.11"
"BAJAJHLDNG","9,765.00","9,935.00","9,634.25","9,667.60","9,910.00","242.40","2.51","91,945","90.19","9,980.00","6,627.90","18.23","38.52"
"GLAND","1,845.00","1,892.00","1,834.70","1,839.75","1,883.10","43.35","2.36","3,37,309","63.25","2,194.00","1,042.00","1.47","80.20"
"OIL","492.90","517.95","490.05","489.50","501.00","11.50","2.35","53,73,870","270.41","517.95","166.17","-18.71","97.49"
"ITC","435.15","444.55","433.65","433.65","443.80","10.15","2.34","2,05,21,107","902.44","499.70","399.35","1.01","-5.29"
"HDFCLIFE","609.00","622.05","608.60","607.35","621.00","13.65","2.25","68,00,857","418.43","710.60","511.40","10.29","-5.65"
"POLICYBZR","1,381.15","1,438.40","1,380.30","1,379.45","1,410.00","30.55","2.21","15,50,003","218.34","1,543.00","661.30","9.19","100.88"
"SBICARD","723.25","740.00","714.35","721.95","735.50","13.55","1.88","20,67,366","151.03","892.85","647.95","2.81","-12.08"
"IRCTC","1,030.00","1,051.75","1,027.80","1,026.20","1,045.20","19.00","1.85","60,83,179","633.99","1,138.90","614.35","6.94","65.80"
