"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"ICICIGI","1,865.05","1,871.70","1,831.50","1,865.05","1,841.40","-23.65","-1.27","5,34,239","98.59","1,877.40","1,266.00","12.68","39.43"
"ABB","8,700.00","8,700.00","8,492.00","8,679.40","8,568.40","-111.00","-1.28","1,61,299","138.53","9,149.95","3,850.00","7.51","97.27"
"ADANIENSOL","1,010.00","1,019.95","994.70","1,012.65","999.55","-13.10","-1.29","7,57,659","76.00","1,250.00","686.00","-0.73","-"
"SRF","2,401.00","2,419.70","2,357.05","2,400.75","2,369.00","-31.75","-1.32","3,89,677","93.04","2,693.95","2,040.00","3.83","7.99"
"TATAPOWER","440.70","443.45","431.90","439.95","434.00","-5.95","-1.35","91,54,756","399.32","464.20","216.75","-0.81","92.96"
"MOTHERSON","205.81","206.36","200.83","205.00","201.80","-3.20","-1.56","1,22,36,074","247.96","208.88","86.80","30.82","124.41"
"BOSCHLTD","35,172.10","35,484.00","34,342.50","35,074.00","34,520.00","-554.00","-1.58","28,099","97.52","36,678.00","17,931.15","14.63","77.67"
"ADANIPOWER","709.90","712.55","693.00","708.90","697.70","-11.20","-1.58","33,15,411","232.03","895.85","235.85","-7.58","190.83"
"VEDL","475.90","477.50","464.80","473.85","466.10","-7.75","-1.64","85,76,939","402.94","506.75","208.00","2.87","68.90"
"SIEMENS","7,934.25","7,934.80","7,685.05","7,885.55","7,742.00","-143.55","-1.82","2,34,500","182.10","7,968.70","3,246.00","14.70","113.67"
"INDIGO","4,323.55","4,324.80","4,228.60","4,322.90","4,234.00","-88.90","-2.06","3,85,991","164.65","4,609.80","2,333.35","-1.15","64.30"
"JINDALSTEL","1,050.55","1,054.45","1,023.50","1,050.50","1,027.00","-23.50","-2.24","14,17,503","146.62","1,097.00","581.60","2.29","72.16"
"CANBK","117.50","118.08","114.66","117.76","114.99","-2.77","-2.35","3,40,32,815","395.39","128.90","63.85","-0.96","-64.71"
"BANKBARODA","268.00","268.00","261.55","273.80","263.00","-10.80","-3.94","2,28,06,599","602.78","299.70","185.75","1.11","31.00"
